id,name,icon,description,active,created_at,updated_at,score,kind
2479,Folks Finance,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,6,""
469,AthleteX,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,17,""
2481,Footprint Analytics,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,4,""
474,Atlas Protocol,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,1,""
478,ATN,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,1,""
480,Atomex,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,3,""
482,AtomicHub,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,9,""
485,Atomic Wallet Coin,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,4,""
488,Attic Lab,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,4,""
490,Auctus,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,1,""
183,Aleph.im,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,13,""
189,alexgo-io,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,9,""
190,Algebra,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,7,""
496,Augmint,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,1,""
196,AlgoNode,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,3,""
199,AlgoWorld,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,1,""
200,AlgoWorldNFT,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,1,""
202,AliceNet,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,2,""
